Address,Moniker,Cumulative earnings (FX)
fxvaloper1qjz9334grynx8lg6ae9vj2fnktgj7u0qvq3szl,Tokyo,40681185400578657986474.981721338695508669
fxvaloper1qcpxytptp0rfawxhgtm8z69y65g3g7d247d3wv,ChiangMai,24182385124174078631971.188650494143675802
fxvaloper1p2le22wf9mr3h7j9qgseqtvf89ek2z0tmsdhrj,dutchblue,80218924137591882821.422551340535900881
fxvaloper1pvv04yexryyxsraalwcephkavtwsadzh5yatru,London,39912458670942316272833.604567885961499931
fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,RETIRING SOON wolfpack,9075576913372.827026588071104460
fxvaloper1pa4mt67gk67l3ksgwatm56vfjze7y922j2p2q5,🌖🚀Moonbase,538556314110364153379.812295789745241439
fxvaloper1zn0p7rqp2s702r4aua98gdtlwp6gza904h2dls,LuckyFX,1008648748253702487396.027271215657037883
fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,Kigali,836544687129908254.872526696872136529
fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,⛄❆ FrenchﾒCore-1 ❆⛄,2310435975285463088414.883344211093244876
fxvaloper1r4f58l7x5eyn82e36tetc69fd9xf65x5e3k34g,🧙‍♂️ World of FX Wizards 🧙‍♀️,298242643694141185191.750857177934567729
fxvaloper1yqz7fm3els5we5cq4h6ug3yywm7sfpl0jm2pxh,Innsbruck,26334178301387772045251.578570303785521291
fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,SmallFort,5612299858805370867626.578573965104655135
fxvaloper1yc0v6at49lc9n8rvvcw86rgf2cgc26jy4ckzkj,Madrid,42469074613114857491697.866775072483257125
fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,Blindgotchi,3964952212314008452253.060922566517828420
fxvaloper19g2087ksund76mv3vt598pd6p563f856wqldkg,FxWorld,1991604659482840902418.827814006689776261
fxvaloper19fyfq60lyhv8nlanukfmrg5lp66s8q20vx3jj5,Dapp.com,8442102628429481915368.883058728743153034
fxvaloper194wzf8rxucjt3hmesv6ccf5z5s8ss4h2rdrmr0,Asosiasi Blockchain Indonesia,18630644719941403848386.963935127149710313
fxvaloper1xrzyg8w0ccm07z80cm5zxkcclfylcujneaxtuy,Istanbul,44459424705822327904720.421128880031149329
fxvaloper18p4q7fzj76x2s4p3upzkzxvqsyecfz2yx2y4x9,Jakarta,6698879126619526512137.373711396869942972
fxvaloper18xj9zy4wx96r73kqfqtm95jtpxdrw7uuxht457,Lagos,730260065405637353.214262570671005373
fxvaloper1886ndwvun7gs2cqqe6k5vg9uddmvqgsz2vvsn8,Scale Moment Group,2116371844567555539398.855680010845869666
fxvaloper1fxhwgkxphr6adkp84ka9cddqk8l8axr4j4egdl,Taipei,41191137652809833307972.020649890977232083
fxvaloper1fxlpxnlrgquwaes5wrt5awdaymv5wpntfgsct8,Montreal,41686955855235088226093.057577249229144600
fxvaloper1fvrkqzf795p4hh36hwy8rq57ywv5kwyxjax8cf,Blockchain Collaborative Consortium,20415644916876456034880.531291096010877894
fxvaloper1290uryg96klfsdn3usktwcy5t3qxh8eclsmtqy,Bucharest,27994662963211909554376.946839675616661979
fxvaloper12dzp2wydkc8rtjeejehsck8kwmrxz7tk3t8h6s,DAOVerse,12698218715795457510.550084842621845820
fxvaloper126pplyfsrshzvjutslee8369uhc3hvmxml8adf,212th FX Battalion,4032561699980727465672.414501978997590511
fxvaloper1t28sjqjfg0zs9wuzpyu3m59c2g4jh6q6nck2w6,AquillaX,283192648654043054462.125423740661449373
fxvaloper1t569mgfscvmzrrrwqkzc2g3g2lxffpvh2s3pv8,Superbit123,1774152388991188693955.129936005454018035
fxvaloper1drrh5nhcn40x827j8rgx9kg9f5nftut63hnz2s,NOBI,291058802289313302312.787876717105404574
fxvaloper1dlm4kp90axktn7ywg68ueaa4uyjddnnxjxkwk8,Sydney,23436360692350092186.810098384766432570
fxvaloper10vazcv8mfhy7lm5fuep82esxwcx70dwttsx2ez,blocktempo,3870871607882941168832.927485057756950896
fxvaloper1srkazumnkle6uzmdvqq68df9gglylp3pkhuwna,Litecoin Foundation,24281605674378597682657.297055313777282041
fxvaloper1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwqdtfq8x,📊EA🤖31337📈,219222550911859152188.222191175837580042
fxvaloper1359ld4urxm0807wcmyth9dkmsw2pwznjeh26pt,Dubai,36748386118009640575509.873324637170875932
fxvaloper1jcwagrc7gxpsr3xhvtvwek4kyx3m7q858jxqec,Rock,3632301641289107172098.716308860031001462
fxvaloper1nammyssvfumll85kx6fwwje3qy3pkpvkw35p89,Nammy💻,64128953279494873850.800063695016329073
fxvaloper15x2nwxq75fth468wn5xpvvtwhtnj2af0pz6tuj,fx-royv-validator,0
fxvaloper14y39e3ujz2m0y2we8tqjwppmj5j4vh80hyafz7,Amsterdam,40753415437741812930847.114097014403908291
fxvaloper1ke3gmlz77w700w65qyhtc3y3ahtwupjk3szeph,SoPaulo,49433811508610833714332.357306807299101838
fxvaloper1h88fa2my5ns6ydpvzdjhtmjw4smz2zzd4eg7sv,Paper,3107601626006514057757.376898607602816168
fxvaloper1hnavkdy0ep629tlwt32x82qsssx9yyvp0s0wtt,Porto,154743840662386604.014707734628633401
fxvaloper1hl5s5tycshsklqyv88ednwmr3hc90wmqxh23c2,SanSalvador,661808848269315885.420339215447040709
fxvaloper1c0gnd02hwatfukgcux5f3hvhutcfj9kdvqrmuj,Cogni🧠,400795103172771201005.038670617796488856
fxvaloper1c4glwxgvs5vjx9j2w4ef7r4480cfs2dkv7h8u2,Scissors,2945414972006908191168.864653031048025935
fxvaloper1evpmc2je2mmvad3pukyre0xw37y0cdr5pqptke,paf_yyc_ca,3105195168045274403645.401219135172572294
fxvaloper1engnd3l9gg67gggr7n4wq7c32zavd9sq4faxua,Cyprus,9813141178980067320015.991014082162919517
fxvaloper16evwmqjz8gd2wwl3qu83a3f3mlkp4yelqew850,Shenzhen,34529177387094015667307.641451810409682051
fxvaloper1ms606vz2zrxw7752y5ae8z4zyp52ajjacv9qyd,Miami,53060534686829730256638.359839746926619725
fxvaloper1mc84eaz33l77ue6s53c482lu6fvq5uexmyea8h,Janc,851825623380183990136.044880270111144675
fxvaloper1maactzfltlrr304dsnm8fffjtupcs4ehjedchy,Seoul,37256136144740415705434.477928929359922502
fxvaloper1u2736s9hm43ds6xxje0d2qhhy2m56akaf8up7t,Delhi,34868590174101133709910.288983761521520208
fxvaloper1umj9xqdv7q2quvtks8j66mwrj9wcfqp4486qgn,🎄 ClaudioﾒBarros 🇵🇹 🇺🇦 🎄,867218531794528151833.316010737353702484
fxvaloper1as2rwvnayy30pzjy7aw35dcsja6g98nd87r8vp,European University Cyprus,17302458031938014846295.915947546118731918
fxvaloper1astdkdrxlgylehy0jpqv2e357kl6pq0ccq4u73,nexus,2669431926886733570521.238066359458008455
fxvaloper1a73plz6w7fc8ydlwxddanc7a239kk45jnl9xwj,Singapore,167170643268819105266726.682044269076758360
fxvaloper1780uflqpght7etzq8auv0ram6rwy3wd69vdxc9,🦊Fox🦊,631013829335588766863.465680999655554596
fxvaloper175yk2n6dq66kl3m8rsqn5yfqf4jkegnlvcce0a,Aghanism,0
fxvaloper17k6kc0mqnnccqqgkm3d2nzp0jqxpjutxhqyay6,NewYork,48413806677436532477533.596440964591572381
fxvaloper1lgzkn292ap2a4t8dvsq0cf5qfkkuplcnztcnvp,Alif,567910809440319958147.550900435407706217
