Timestamp (At request),Block Height,PUNDIX (Ether),USDT (Ether),DAI (Ether),EURS (Ether),LINK (Ether),C98 (Ether),WETH (Ether),BUSD (Ether),FRAX (Ether),USDC (Ether)
Sat Dec 10 2022 04:56:17 GMT+0800 (Singapore Standard Time),16149668,27854923.59,435018.1162,0.5,0,0,0,35.96033873,0,0,0
Sat Dec 10 2022 04:56:22 GMT+0800 (Singapore Standard Time),16149668,27854923.59,435018.1162,0.5,0,0,0,35.96033873,0,0,0
Sat Dec 10 2022 04:56:27 GMT+0800 (Singapore Standard Time),16149669,27854923.59,435018.1162,0.5,0,0,0,35.96033873,0,0,0
Sat Dec 10 2022 04:56:32 GMT+0800 (Singapore Standard Time),16149669,27854923.59,435018.1162,0.5,0,0,0,35.96033873,0,0,0
Sat Dec 10 2022 04:56:38 GMT+0800 (Singapore Standard Time),16149669,27854923.59,435018.1162,0.5,0,0,0,35.96033873,0,0,0
Sat Dec 10 2022 04:56:43 GMT+0800 (Singapore Standard Time),16149669,27854923.59,435018.1162,0.5,0,0,0,35.96033873,0,0,0
Sat Dec 10 2022 04:56:48 GMT+0800 (Singapore Standard Time),16149670,27854923.59,435018.1162,0.5,0,0,0,37.06033873,0,0,0
Sat Dec 10 2022 04:56:53 GMT+0800 (Singapore Standard Time),16149671,27854923.59,435018.1162,0.5,0,0,0,37.06033873,0,0,0
Sat Dec 10 2022 04:56:58 GMT+0800 (Singapore Standard Time),16149671,27854923.59,435018.1162,0.5,0,0,0,37.06033873,0,0,0
Sat Dec 10 2022 04:57:03 GMT+0800 (Singapore Standard Time),16149671,27854923.59,435018.1162,0.5,0,0,0,37.06033873,0,0,0
Sat Dec 10 2022 04:57:08 GMT+0800 (Singapore Standard Time),16149672,27854923.59,435018.1162,0.5,0,0,0,37.06033873,0,0,0
Sat Dec 10 2022 04:57:13 GMT+0800 (Singapore Standard Time),16149672,27854923.59,435018.1162,0.5,0,0,0,37.06033873,0,0,0
